"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref","Age_sq"
"1","1","318",63,145,-16.8,316,3.8,NA,5.3,140,NA,0.73,"Bondarev, 1997",19600
"2","2","372",66.87,102.33,-13,320,3.6,NA,4.3,102,NA,0.84,"Bondarev, 1997",10404
"3","3","372",66.87,102.33,-13,320,5.5,NA,6.6,154,NA,0.83,"Bondarev, 1997",23716
"4","4","372",66.87,102.33,-13,320,7.2,NA,9.2,154,NA,0.79,"Bondarev, 1997",23716
"5","5","372",72.5,101.83,-13.4,273,3,NA,3.9,210,NA,0.78,"Bondarev, 1997",44100
"6","6","372",66.87,102.33,-13,320,6.1,NA,7.9,175,NA,0.77,"Bondarev, 1997",30625
"7","7","372",71.28,99.5,-12.7,285,10.1,NA,13.3,230,NA,0.76,"Bondarev, 1997",52900
"8","8","372",72.57,105.33,-13.3,250,6.4,NA,8.6,203,NA,0.75,"Bondarev, 1997",41209
"9","9","372",70.88,102.93,-13.6,276,6.2,NA,8.3,292,NA,0.74,"Bondarev, 1997",85264
"10","10","372",66.87,102.33,-13,320,10.1,NA,13.7,172,NA,0.74,"Bondarev, 1997",29584
"11","11","372",68.73,104.33,-12.5,262,10.3,NA,14.4,257,NA,0.71,"Bondarev, 1997",66049
"18","18","405",26.47,117.95,19.3,1669,306.3,392.86,NA,80,0.78,NA,"CERN",6400
"19","19","405",26.47,117.95,19.3,1669,268.1,347.83,NA,80,0.77,NA,"CERN",6400
"20","20","223",47,129,1.7,545,37,52,NA,101,0.71,NA,"CERN",10201
"21","21","104",38.7,100,-3.7,347,120.5,NA,164.5,193,NA,0.73,"Chang et al., 1997",37249
"22","22","104",38.7,100,-3.7,347,79.9,NA,108,165,NA,0.74,"Chang et al., 1997",27225
"23","23","104",38.7,100,-3.7,347,50.8,NA,68.6,255,NA,0.74,"Chang et al., 1997",65025
"28","28","330",37.47,101.21,0.1,459,55.7,74.6,NA,150,0.75,NA,"China’s Forest Editorial Committee, 1999",22500
"29","29","418",37.27,101.95,1,490,61,77.59,NA,170,0.79,NA,"China’s Forest Editorial Committee, 1999",28900
"30","30","434",37.3,101.6,-1.6,494,53,73.52,NA,180,0.72,NA,"China’s Forest Editorial Committee, 1999",32400
"31","31","434",37.3,101.6,-1.6,494,59.2,82.73,NA,206,0.72,NA,"China’s Forest Editorial Committee, 1999",42436
"32","32","434",37.3,101.6,-1.6,494,139.8,197.41,NA,290,0.71,NA,"China’s Forest Editorial Committee, 1999",84100
"33","33","446",35.02,100.05,-1.6,430,128.1,189.28,NA,252,0.68,NA,"China’s Forest Editorial Committee, 1999",63504
"34","34","446",35.02,100.05,-1.6,430,97.9,147.65,NA,263,0.66,NA,"China’s Forest Editorial Committee, 1999",69169
"35","35","40",29.92,95.88,9,850,717.6,NA,NA,350,NA,NA,"Feng et al., 1999",122500
"36","36","308",44.25,-122.18,8.5,2118,615.3,NA,958,450,NA,0.64,"Hudiburg et al., 2009",202500
"37","37","308",44.21,-122.24,10.3,1869,422.1,NA,658,460,NA,0.64,"Hudiburg et al., 2009",211600
"38","38","308",44.22,-122.25,10.4,1859,253.7,NA,401.9,450,NA,0.63,"Hudiburg et al., 2009",202500
"39","39","308",44.21,-122.22,10.1,2003,307.3,NA,487.4,450,NA,0.63,"Hudiburg et al., 2009",202500
"40","40","308",44.21,-122.15,5.8,2260,407.9,NA,652.5,460,NA,0.63,"Hudiburg et al., 2009",211600
"41","41","308",44.23,-122.12,7,2332,605.9,NA,974.8,460,NA,0.62,"Hudiburg et al., 2009",211600
"42","42","308",44.23,-122.15,8,2264,550.5,NA,896.9,450,NA,0.61,"Hudiburg et al., 2009",202500
"43","43","308",44.2,-122.26,11.4,1719,283.9,NA,464.9,460,NA,0.61,"Hudiburg et al., 2009",211600
"44","44","308",44.21,-122.24,8.9,1906,521.2,NA,856.4,460,NA,0.61,"Hudiburg et al., 2009",211600
"45","45","308",44.26,-122.18,8.1,2101,498.4,NA,825.8,450,NA,0.6,"Hudiburg et al., 2009",202500
"46","46","308",44.22,-122.24,10.9,1868,314.9,NA,552.3,460,NA,0.57,"Hudiburg et al., 2009",211600
"47","47","308",44.23,-122.12,7.1,1240,359,NA,651.1,450,NA,0.55,"Hudiburg et al., 2009",202500
"48","48","308",44.26,-122.16,7.8,2202,411.5,NA,774.8,460,NA,0.53,"Hudiburg et al., 2009",211600
"49","49","308",44.27,-122.14,3.8,2282,328.2,NA,741.2,450,NA,0.44,"Hudiburg et al., 2009",202500
"50","50","309",45.06,-123.99,7.9,2417,472.9,NA,754.1,150,NA,0.63,"Hudiburg et al., 2009",22500
