Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,Temp,Precip,AGB,Age,Reference 1,Method used to determine tree age,FullBibEntry
1,Boreal,Boreal mountain system,Asia,"Oymyakon,the upper  stream  of  Indigirka  River,eastern Siberia",L. cajanderi,63,145,-16.8,316,3.8,140,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
2,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",66.87,102.33,-13,320,3.6,102,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
3,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",66.87,102.33,-13,320,5.5,154,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
4,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",66.87,102.33,-13,320,7.2,154,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
5,Polar,Polar,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",72.5,101.83,-13.4,273,3,210,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
6,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",66.87,102.33,-13,320,6.1,175,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
7,Boreal,Boreal tundra woodland,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",71.28,99.5,-12.7,285,10.1,230,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
8,Polar,Polar,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",72.57,105.33,-13.3,250,6.4,203,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
9,Boreal,Boreal tundra woodland,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",70.88,102.93,-13.6,276,6.2,292,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
10,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii(Ruppr.) Ruppr.,Larix cajanderi",66.87,102.33,-13,320,10.1,172,"Bondarev, 1997",Tree rings,"Bondarev, A. (1997) Age distribution patterns in open boreal Dahurican larch forests of Central Siberia. Forest Ecology and Management, 93, 205-214."
