Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,"Mean annual temperature, °C","Mean annual precipitation, mm","Above-ground biomass carbon density (BCDa), Mg C ha-1","Living biomass carbon density (BCDl), Mg C ha-1","Total biomass carbon density (BCDt), Mg C ha-1",Stand age,BCDa/BCDl,BCDa/BCDt,Reference 1,Method used to determine tree age,Reference 2,Reference 3,Reference 4,
1,Boreal,Boreal mountain system,Asia,"Oymyakon,the upper  stream  of  Indigirka  River,eastern Siberia", L. cajanderi,63.00 ,145.00 ,-16.8 ,316 ,3.8 ,,5.3 ,140 ,,0.73 ,"Bondarev, 1997",Tree rings,,,,
2,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",66.87 ,102.33 ,-13.0 ,320 ,3.6 ,,4.3 ,102 ,,0.84 ,"Bondarev, 1997",Tree rings,,,,
3,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",66.87 ,102.33 ,-13.0 ,320 ,5.5 ,,6.6 ,154 ,,0.83 ,"Bondarev, 1997",Tree rings,,,,
4,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",66.87 ,102.33 ,-13.0 ,320 ,7.2 ,,9.2 ,154 ,,0.79 ,"Bondarev, 1997",Tree rings,,,,
5,Polar,Polar,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",72.50 ,101.83 ,-13.4 ,273 ,3.0 ,,3.9 ,210 ,,0.78 ,"Bondarev, 1997",Tree rings,,,,
6,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",66.87 ,102.33 ,-13.0 ,320 ,6.1 ,,7.9 ,175 ,,0.77 ,"Bondarev, 1997",Tree rings,,,,
7,Boreal,Boreal tundra woodland,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",71.28 ,99.50 ,-12.7 ,285 ,10.1 ,,13.3 ,230 ,,0.76 ,"Bondarev, 1997",Tree rings,,,,
8,Polar,Polar,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",72.57 ,105.33 ,-13.3 ,250 ,6.4 ,,8.6 ,203 ,,0.75 ,"Bondarev, 1997",Tree rings,,,,
9,Boreal,Boreal tundra woodland,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",70.88 ,102.93 ,-13.6 ,276 ,6.2 ,,8.3 ,292 ,,0.74 ,"Bondarev, 1997",Tree rings,,,,
10,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",66.87 ,102.33 ,-13.0 ,320 ,10.1 ,,13.7 ,172 ,,0.74 ,"Bondarev, 1997",Tree rings,,,,
11,Boreal,Boreal coniferous forest,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",68.73 ,104.33 ,-12.5 ,262 ,10.3 ,,14.4 ,257 ,,0.71 ,"Bondarev, 1997",Tree rings,,,,
12,Polar,Polar,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",72.57 ,105.33 ,-13.3 ,250 ,6.4 ,,,,,,"Bondarev, 1997",,,,,
13,Boreal,Boreal tundra woodland,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",70.89 ,102.93 ,-13.6 ,275 ,6.2 ,,,,,,"Bondarev, 1997",,,,,
14,Polar,Polar,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",72.50 ,101.83 ,-13.4 ,273 ,3.0 ,,,,,,"Bondarev, 1997",,,,,
15,Boreal,Boreal tundra woodland,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",71.28 ,99.50 ,-12.7 ,285 ,10.1 ,,,,,,"Bondarev, 1997",,,,,
16,Boreal,Boreal coniferous forest,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",68.73 ,104.33 ,-12.5 ,262 ,11.4 ,,,,,,"Bondarev, 1997",,,,,
17,Boreal,Boreal mountain system,Asia,"Taimyr peninsula and Evenk region,in Russian Siberia","Larix gmelinii (Ruppr.) Ruppr., Larix cajanderi",66.87 ,102.33 ,-13.0 ,320 ,10.1 ,,,,,,"Bondarev, 1997",,,,,
18,Subtropical,Subtropical humid forest,Asia,"Wangtai, Nanping, Fujian, China",Cunninghamia lanceolata,26.47 ,117.95 ,19.3 ,1669 ,306.3 ,392.86 ,,80 ,0.78 ,,CERN,Historical record,,,,
19,Subtropical,Subtropical humid forest,Asia,"Wangtai, Nanping, Fujian, China",Cunninghamia lanceolata,26.47 ,117.95 ,19.3 ,1669 ,268.1 ,347.83 ,,80 ,0.77 ,,CERN,Historical record,,,,
20,Temperate,Temperate continental forest,Asia,"Leizi, Dailing, Heilongjiang, China",Larix gmellinii,47.00 ,129.00 ,1.7 ,545 ,37.0 ,52,,101 ,0.71 ,,CERN,Tree rings,,,,
21,Temperate,Temperate mountain system,Asia,"Dalongsi, Qilian, Qinghai, China",Sabina przewalskii Kom,38.7,100,-3.7 ,347 ,120.5 ,,164.5 ,193,,0.73 ,"Chang et al., 1997",Tree rings,,,,
22,Temperate,Temperate mountain system,Asia,"Dalongsi, Qilian, Qinghai, China",Sabina przewalskii Kom,38.7,100,-3.7 ,347 ,79.9 ,,108.0 ,165,,0.74 ,"Chang et al., 1997",Tree rings,,,,
23,Temperate,Temperate mountain system,Asia,"Dalongsi, Qilian, Qinghai, China",Sabina przewalskii Kom,38.7,100,-3.7 ,347 ,50.8 ,,68.6 ,255,,0.74 ,"Chang et al., 1997",Tree rings,,,,
24,Tropical,Tropical dry forest,Austrilia,"Gunn Point,Darwin,Austrilia",Eucalypt,-12.2333,131.0833,27.4 ,1700 ,33.6 ,,52.9 ,,,0.64 ,"Chen et al., 2003",,,,,
25,Tropical,Tropical dry forest,Austrilia,"Howard Springs,Darwin,Austrilia",Eucalypt,-12.4943,131.151993,27.3 ,1700 ,33.6 ,,52.9 ,,,0.64 ,"Chen et al., 2003",,,,,
26,Tropical,Tropical dry forest,Austrilia,"Humpty  Doo,Darwin,Austrilia",Eucalypt,-12.6,131.1667,27.3 ,1700 ,33.6 ,,52.9 ,,,0.64 ,"Chen et al., 2003",,,,,
27,Tropical,Tropical dry forest,Austrilia,"Territory  Wildlife  Park,Darwin,Austrilia",Eucalypt,-12.7,131,27.3 ,1700 ,33.6 ,,52.9 ,,,0.64 ,"Chen et al., 2003",,,,,
28,Temperate,Temperate mountain system,Asia,"Qilian, Qinghai, China",Sabina przewalskii Kom,37.47 ,101.21 ,0.1 ,459 ,55.7 ,74.60 ,,150 ,0.75 ,,"China’s Forest Editorial Committee, 1999",Tree rings,,,,
