"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref","Age_sq"
"1","1","318",63,145,-16.8,316,3.82,NA,5.265,140,NA,0.725546058879392,"Bondarev, 1997",19600
"2","2","372",66.8667,102.3333,-13,320,3.58579177047828,NA,4.27741825672626,102,NA,0.838307491870735,"Bondarev, 1997",10404
"3","3","372",66.8667,102.3333,-13,320,5.48321672848084,NA,6.64270839136849,154,NA,0.825448959283793,"Bondarev, 1997",23716
"4","4","372",66.8667,102.3333,-13,320,7.21532856116471,NA,9.19078548198369,154,NA,0.78506114361048,"Bondarev, 1997",23716
"5","5","372",72.5,101.83333,-13.4,273,3.03169887225991,NA,3.90873617468628,210,NA,0.775621258833935,"Bondarev, 1997",44100
"6","6","372",66.8667,102.3333,-13,320,6.05000858228371,NA,7.85993074142338,175,NA,0.76972797615111,"Bondarev, 1997",30625
"7","7","372",71.2833,99.5,-12.7,285,10.1379878083018,NA,13.3335583834798,230,NA,0.760336252088773,"Bondarev, 1997",52900
"8","8","372",72.5667,105.3333,-13.3,250,6.38365729688796,NA,8.55393907919087,203,NA,0.746282763740679,"Bondarev, 1997",41209
"9","9","372",70.8833,102.93333,-13.6,276,6.1927649012219,NA,8.34044017350333,292,NA,0.742498569907094,"Bondarev, 1997",85264
"10","10","372",66.8667,102.3333,-13,320,10.1298640567528,NA,13.6602455380891,172,NA,0.741557977746995,"Bondarev, 1997",29584
"11","11","372",68.7333,104.33333,-12.5,262,10.2614019621342,NA,14.4477647316823,257,NA,0.710241490826064,"Bondarev, 1997",66049
"18","18","405",26.47,117.95,19.3,1669,306.2965,392.86,NA,80,0.779658147940742,NA,"CERN",6400
"19","19","405",26.47,117.95,19.3,1669,268.1165,347.825,NA,80,0.770837346366708,NA,"CERN",6400
"20","20","223",47,129,1.7,544.7,37,52,NA,101,0.711538461538462,NA,"CERN",10201
"21","21","103",38.7,100,-3.7,347,120.5,NA,164.5,193,NA,0.732522796352584,"Chang et al., 1997",37249
"22","22","103",38.7,100,-3.7,347,79.9,NA,108,165,NA,0.739814814814815,"Chang et al., 1997",27225
"23","23","103",38.7,100,-3.7,347,50.8,NA,68.6,255,NA,0.740524781341108,"Chang et al., 1997",65025
"28","28","330",37.474,101.214,0.1,459,55.7060862960801,74.6029449210801,NA,150,0.74670090242429,NA,"China’s Forest Editorial Committee, 1999",22500
