"Age","Temperature","Precipitation","Age*Temperature","Temperature*Precipitation","Age*Precipitation","df","logLik","AICc","delta","weight"
0.24,0.2,0.32,0.06,-0.12,NA,10,-305.02,630.44,0,0.56
0.24,0.2,0.33,0.07,-0.13,-0.02,11,-304.61,631.7,1.26,0.3
0.24,0.15,0.32,NA,-0.12,NA,9,-307.74,633.81,3.37,0.1
0.24,0.15,0.32,NA,-0.12,0,10,-307.74,635.88,5.44,0.04
0.25,0.18,0.18,0.06,NA,NA,9,-318.73,655.79,25.35,0
0.24,0.18,0.19,0.05,NA,0.02,10,-318.43,657.25,26.82,0
0.24,0.14,0.19,NA,NA,0.03,9,-319.98,658.28,27.85,0
0.24,0.14,0.18,NA,NA,NA,8,-321.03,658.32,27.88,0
0.22,NA,0.26,NA,NA,NA,7,-329.94,674.08,43.64,0
0.22,NA,0.26,NA,NA,0.01,8,-329.74,675.73,45.3,0
0.26,0.27,NA,0.05,NA,NA,8,-333.58,683.42,52.98,0
0.25,0.23,NA,NA,NA,NA,7,-335.71,685.63,55.19,0
NA,0.1,0.35,NA,-0.13,NA,8,-350.23,716.72,86.28,0
NA,0.08,0.2,NA,NA,NA,7,-363.42,741.04,110.6,0
0.22,NA,NA,NA,NA,NA,6,-365.35,742.84,112.41,0
NA,NA,0.25,NA,NA,NA,6,-366.23,744.61,114.17,0
NA,0.18,NA,NA,NA,NA,6,-379.14,770.43,139.99,0
NA,NA,NA,NA,NA,NA,5,-395.95,802.01,171.57,0
